"","camis_ls","phone_ls","id","rating","review_count","lat","lon","price"
"179","10011","+13475548700","YBEjrVXSy8CDph7EBV5WJQ","4","558","40.668823","-73.985152","$$"
"180","4134","+19175772077","HXj62aTHQfoMf7PEd5jWJg","3.5","205","40.74373","-74",NA
"181","658","+17182369883","i-ssN9j_LmixpSDZhzzoUA","4","65","40.60038","-73.94357","$$$"
"182","12423","+17186512558","Pb2HqSO0SP8HymbZM099hg","3.5","102","40.611598","-74.010337","$$"
"183","7940","+17189371890","CO-buli9ruOhBYsEwOLD2Q","4.5","17","40.7460578","-73.9147416","$$"
"184","7409","+17184768935","frR8cZXfFKGt3IiXxaqs_A","4","14","40.746152","-73.914775","$$"
"185","19495","+16466570841","jhFqstTMRBAdBHgoQ1nSTA","2.5","68","40.7463893294334","-73.9441191405058","$$$"
"186","1383","+12125827500","OIAsPnIsWfWsZBe5aTWElw","3.5","11","40.76247","-73.8707699","$$$"
"187","8375","+12125311288","kaW5FkLJ1jPzwfY8t9mGBA","4","39","40.735977","-73.99271","$$$"
"188","2656","+12129429769","aP3Z0DXzwzM8lZWg3YX9KQ","4","476","40.7644338","-73.9806394","$$$"
"189","4787","+17184461149","jWOCi1QG8c-v0YXRSdd57A","3.5","18","40.86237","-73.92501","$"
"190","6304","+17184772400","_CXnNlifoZiSOUe_MtusZw","3.5","79","40.75634","-73.8804","$"
"191","17075","+12123889539","5POpQX7omWkyQ_oW8lUrDg","4","13","40.61479","-74.17656","$$"
"192","10488","+12128693585","yBZynQEOwaRyx29XGJadPQ","3","98","40.6148318322748","-74.1766455583638","$$"
"193","19985","+17182456285","SG0oXcpWb5te6iB9n_A1eg","3","50","40.6145264","-74.1771739","$$"
"194","9847","+12125946644","NRMvCw_pOC3unxUUAVc6Dw","3","74","40.6148456620452","-74.1769506079346","$$$"
"195","13898","+12122192000","1hZo1zfvLVN687_D7latyg","3.5","394","40.75927","-73.98809","$$"
"196","7975","+17183473106","UGy8TIqJaG1snhwLp91qoA","4","248","40.7477575590435","-73.9872882678904","$$"
