"","camis_ls","phone_ls"
"730","25644","+12013102281"
"731","25878","+12024988673"
"732","20992","+17322102311"
"733","25342","+15082081825"
"734","21580","+16467280505"
"735","23056","+16468508013"
"736","17797","+17182717372"
"737","10748","+12125052029"
"738","4723","+17183842836"
"739","12417","+13477630440"
"740","23575","+13479548596"
"741","22057","+19176205049"
"742","22287","+16464201581"
"743","7734","+13474220852"
"744","26477","+16465991068"
"745","10083","+19176186310"
"746","20196","+12124706665"
"747","24164","+19177555600"
"748","10089","+19176186310"
"749","8655","+17189778260"
"750","1717","+17182754347"
"751","26616","+19178928180"
"752","26972","+13476124580"
"753","25593","+13476638668"
"754","6294","+16467213111"
"755","9947","+12124323825"
"756","20923","+17186060001"
"757","2518","+17184414111"
"758","23093","+17183528885"
"759","23846","+17183213688"
"760","23013","+18579398630"
"761","19013","+12125829354"
"762","25172","+17183582798"
"763","26534","+17817384536"
"764","22608","+12124622703"
"765","17907","+16468961667"
"766","5735","+17188164844"
"767","6912","+17189671212"
"768","21713","+17186998866"
"769","17125","+19175608012"
"770","26130","+12125325003"
"771","23933","+17188869588"
"772","6322","+12122536266"
"773","20605","+12122391519"
"774","26518","+19145255331"
"775","25439","+19174727801"
"776","25826","+16469414051"
"777","22906","+12122305788"
"778","25901","+17185991154"
"779","23040","+16462677700"
"780","24026","+13477025711"
"781","22731","+13472133313"
"782","22582","+17183223903"
"783","22880","+19172165259"
"784","20198","+17187213200"
"785","23294","+13475297979"
"786","10411","+17188801478"
"787","23246","+17188712233"
"788","23145","+17182920600"
"789","11551","+12126821610"
"790","22664","+13473750990"
"791","9040","+13475830891"
"792","26440","+16179155199"
"793","3554","+17182220345"
"794","23288","+13477284265"
"795","25952","+13476227659"
"796","25804","+19292894144"
"797","17438","+19173278186"
"798","26309","+13474637060"
"799","22752","+13479224449"
"800","11688","+17185925700"
"801","10206","+19173308771"
"802","23453","+12124770104"
"803","19975","+17184608678"
"804","26446","+13053337960"
"805","25048","+12129667364"
"806","23325","+12129209370"
"807","26317","+17188341776"
"808","25258","+19172910061"
"809","6210","+17185958100"
"810","1533","+12127692296"
"811","26822","+19177437388"
"812","12211","+17183887567"
"813","20077","+17182427476"
"814","18168","+17189338765"
"815","24892","+17187926868"
"816","3830","+17183874182"
"817","7081","+12125750088"
"818","24291","+17186998166"
"819","19420","+17185958192"
"820","24327","+1__________"
"821","24321","+16467218748"
"822","2409","+12127876008"
"823","3362","+17182745040"
"824","5763","+17186566210"
"825","4299","+17184245693"
"826","22093","+17182563618"
"827","26983","+16464041005"
"828","1522","+12127900247"
"829","24939","+19293290053"
"830","23337","+19176891584"
"831","25358","+19174550249"
"832","17969","+16463381338"
"833","22275","+17184843744"
"834","23406","+17183330811"
"835","25440","+15104284081"
"836","17084","+17185958192"
"837","24309","+17189848773"
"838","9234","+12124100707"
"839","27047","+17186679662"
"840","12419","+12129797778"
"841","26143","+12125325003"
"842","15463","+17186367823"
"843","16541","+13479188953"
"844","26559","+17188061493"
"845","26404","+17183627888"
"846","23514","+15165577197"
"847","24625","+16468700571"
"848","26826","+17184742202"
"849","23252","+13053897200"
"850","23985","+13473263165"
"851","25725","+17188354408"
"852","24402","+17183993000"
"853","26935","+1917 364 4730"
"854","23110","+13478284608"
"855","10204","+12127761478"
"856","24998","+19172620938"
"857","13956","+16469186169"
"858","15214","+12126159700"
"859","22720","+17182333888"
"860","25145","+15165130927"
"861","24041","+17183830033"
"862","5775","+16464775291"
"863","23652","+13474003265"
"864","22410","+17187276265"
"865","16124","+12124656273"
"866","23803","+17188168458"
"867","22470","+12124733897"
"868","24880","+13475773177"
"869","22353","+16463014237"
"870","24473","+13236278562"
"871","21073","+13476679426"
"872","21646","+15163304388"
"873","4391","+17187670204"
"874","22369","+16463740127"
"875","22221","+19292960277"
"876","14819","+16466883504"
"877","27011","+17186852339"
"878","25713","+17184503844"
"879","24176","+16464299296"
"880","20158","+19172620978"
"881","14952","+13472814481"
"882","25300","+17188862060"
"883","21201","+16465807533"
"884","12223","+12019267105"
"885","4322","+12126492724"
"886","3654","+12127374400"
"887","21987","+19175351907"
"888","6816","+17184839111"
"889","5987","+17185274653"
"890","25313","+12129252963"
"891","21715","+13479676009"
"892","4140","+12127304949"
"893","592","+12125024023"
"894","17856","+13479874250"
"895","23095","+12127621947"
"896","24508","+17189871111"
"897","16070","+17188518878"
"898","26673","+17188380237"
"899","19442","+17185106256"
"900","24274","+12122266758"
"901","26071","+17188333000"
"902","23608","+17189753664"
"903","25188","+19178582917"
"904","23755","+17187826666"
"905","26727","+17184339688"
"906","22409","+16467444912"
"907","2326","+12127376534"
"908","20072","+19172615353"
"909","25051","+19174784390"
"910","1297","+12125867610"
"911","19423","+17183842269"
"912","23633","+17188532818"
"913","6182","+17185958126"
"914","21091","+19179665124"
"915","26916","+17188096990"
"916","22746","+12129255340"
"917","27061","+16468874551"
"918","26624","+17185522610"
"919","24978","+13472972890"
"920","22224","+12128320395"
"921","25984","+19292932959"
"922","3695","+12129795521"
"923","930","+17189791600"
"924","4115","+12126440692"
"925","14574","+19173964635"
"926","8072","+12124857485"
"927","23248","+16466391167"
"928","22669","+12327272005"
"929","26596","+17343308330"
"930","23263","+13476613467"
"931","22991","+12127994111"
"932","10090","+19176186310"
"933","25975","+13478617088"
"934","26480","+12125292671"
"935","25663","+18475300095"
"936","1575","+17189417220"
"937","24478","+19179017277"
"938","22640","+12127666600"
"939","24236","+17185290290"
"940","26562","+19173483700"
"941","25855","+19179080026"
"942","15799","+13474047042"
"943","13077","+17184408789"
"944","20661","+19292375917"
"945","18817","+17182206400"
"946","20983","+17188827272"
"947","23738","+17184425050"
"948","22267","+16467915860"
"949","20041","+16466836178"
"950","21578","+19176810062"
"951","26584","+13477036610"
"952","23306","+13476441776"
"953","24093","+12128052723"
"954","24528","+17182822288"
"955","26053","+16463689139"
"956","20601","+17182783333"
"957","26323","+19172620012"
"958","18818","+17187084802"
"959","26556","+12018507439"
"960","18072","+19089025905"
"961","19560","+19544222183"
"962","25391","+17189401926"
"963","24873","+13477249586"
"964","24677","+19175357188"
"965","25592","+12126004113"
"966","4636","+12128791764"
"967","6209","+17185958100"
"968","26649","+19174751272"
"969","25318","+16464090834"
"970","25343","+16468536970"
"971","16260","+12129962864"
"972","25353","+19178808507"
"973","26790","+17187385361"
"974","6901","+17183351150"
"975","25872","+12128881092"
"976","23299","+19178341687"
"977","19871","+13475673692"
"978","20230","+12125108005"
"979","26102","+12125177789"
"980","25758","+12125950099"
"981","23203","+19175635166"
"982","7327","+17182741910"
"983","26499","+16466598080"
"984","23722","+16464787217"
"985","24695","+17184840004"
"986","22554","+19172150547"
"987","25690","+19172658432"
"988","24621","+13472643888"
"989","26010","+13476249277"
"990","25384","+13056087302"
"991","26469","+12128101273"
"992","26659","+17182040204"
"993","26570","+19172387228"
"994","20917","+19292573793"
"995","1179","+17182991925"
"996","21353","+17184873930"
"997","24322","+19175127531"
"998","25972","+13476595670"
"999","6461","+17188015465"
"1000","26778","+13477373631"
"1001","22877","+17188747313"
"1002","25182","+19178269951"
"1003","21770","+12122271908"
"1004","22372","+17187914462"
"1005","11540","+12125827941"
"1006","25351","+12126459009"
"1007","23485","+17183025000"
"1008","25608","+17189618666"
"1009","21120","+12019662263"
"1010","2978","+17185159467"
"1011","24597","+16462814433"
"1012","23524","+19176807924"
"1013","26084","+19174727874"
"1014","4856","+17183763590"
"1015","19593","+15167361721"
"1016","26385","+17184813709"
"1017","26942","+17184618899"
"1018","22683","+16462629016"
"1019","3780","+12128094101"
"1020","25933","+16468501400"
"1021","26284","+17185011109"
"1022","20711","+12122450002"
"1023","25197","+19178540000"
"1024","20727","+19176677006"
"1025","20016","+12122217480"
"1026","26163","+17187304140"
"1027","16510","+12126149100"
"1028","26945","+16463788668"
"1029","16852","+16465993512"
"1030","24993","+16465590656"
"1031","24851","+12122452325"
"1032","25600","+19173189172"
"1033","8598","+17183227866"
"1034","24513","+15028742094"
"1035","17473","+19173049069"
"1036","1994","+17182598840"
"1037","4779","+17185076539"
"1038","22091","+19173651912"
"1039","6170","+17185958100"
"1040","297","+17185311200"
"1041","24559","+13472727551"
"1042","26365","+12122133317"
"1043","24373","+13477436487"
"1044","26520","+19179711252"
"1045","25917","+13475462949"
"1046","22787","+12125815999"
"1047","25032","+12127772017"
"1048","21726","+17183435888"
"1049","3112","+12128893369"
"1050","20953","+17185221806"
"1051","23463","+16094015056"
"1052","25451","+17182926948"
"1053","23675","+16465968198"
"1054","3542","+17182055978"
"1055","23708","+19173403430"
"1056","21349","+16465412973"
"1057","24760","+17182246030"
"1058","2439","+17189814650"
"1059","25564","+12122805858"
"1060","27063","+17186901497"
"1061","20589","+16462941527"
"1062","23950","+12122261248"
"1063","17226","+13478220402"
"1064","1619","+17187512030"
"1065","25445","+17183924071"
"1066","26191","+12128611340"
"1067","24208","+13328773855"
